episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
1000,-534.185219127452,26.041635752364527,1,1000,19.87682926911334
1000,-360.1261728584068,19.234879428667128,2,2000,4.029899839429739
1000,-364.2306487035239,33.15927778069454,14,14000,4.07994123971957
1000,-243.82079149899073,34.29128890362699,15,15000,3.969266506841423
1000,-97.42523591697682,39.11670931006665,16,16000,4.1765620022036964
1000,20.773541667149402,45.856757993402425,17,17000,4.103721299904763
1000,-1.8511355587979779,47.41829485591734,18,18000,3.985706422571543
1000,142.47605877107708,57.30253201152664,19,19000,4.000154527911627
1000,299.43437790387543,57.29479791392805,20,20000,4.042413046287321
1000,371.1863904891652,62.47793645883212,21,21000,3.904706451876991
1000,483.34024537564255,68.86323388695018,22,22000,4.183673811986642
1000,824.5086030457169,81.38302726810798,23,23000,4.092574139759504
1000,868.6556493863463,104.46450453813304,28,28000,4.1193472614836715
1000,1258.0278306226246,125.0630395882763,29,29000,4.101472943011778
1000,1623.6897557666525,147.6845521662035,30,30000,3.971461592608021
1000,1767.7593720806763,170.31343053103774,31,31000,4.075247197639646
1000,1672.9322322693188,175.79784092633054,32,32000,4.119970021797492
1000,1614.6796399456362,174.0639472216135,33,33000,3.9676399507200726
1000,2032.4957167720422,222.78970234910958,34,34000,4.122154364976033
1000,1999.5299074014183,228.41289039386902,35,35000,4.140964505369034
1000,2268.7901373971254,258.19752975180745,36,36000,3.9600222076375857
1000,2051.220988220768,240.8784008572984,37,37000,4.118868177348912
1000,2204.031370855868,265.0227269877214,38,38000,4.096984020343621
1000,2437.107914853841,294.3695226536365,39,39000,3.9751492892556803
1000,2543.75863861572,297.8935581431724,40,40000,4.113467695956782
1000,2475.7420108020306,325.8686372949742,48,48000,3.9720945824490483
1000,2358.157715447247,303.88058979285415,49,49000,4.1193445832121
1000,2526.9287023250945,331.0911666811444,50,50000,4.118715540754808
1000,2337.923381773755,331.89456807111856,51,51000,3.9663154257812665
1000,2362.415280454792,310.99790063267574,52,52000,4.10752414032617
1000,2546.4765340462327,360.14005967602134,53,53000,4.089414329688237
1000,2640.220128759742,376.81114174611866,54,54000,3.966808361592028
1000,2783.9422991788015,381.1346750022494,55,55000,4.074798465447691
1000,2743.331289118156,380.3244282824453,56,56000,4.113024224996282
1000,2840.237367751077,406.5724356593564,57,57000,3.9629486471233464
1000,2320.216150109656,365.57502637458003,58,58000,4.095749927268601
1000,2848.817516885698,373.88424215232953,59,59000,4.10423216386365
1000,2853.8387758671306,373.805684483028,60,60000,3.9381372308489095
1000,2776.622105561197,368.3685038080439,61,61000,4.112269656767966
1000,2946.735675446689,406.8353097513318,62,62000,4.100184763086085
1000,2936.193572010845,409.9765049475536,63,63000,3.9428248434198143
1000,3022.3312181169167,425.49368185852654,64,64000,4.100806465553133
1000,2806.173827532679,397.67776548315305,65,65000,4.076157611063515
1000,2916.844075024128,413.238052448025,66,66000,3.964848394548319
1000,2864.4200032278895,394.8707879791036,67,67000,4.102705724264013
1000,2797.027468621731,382.94036688050255,68,68000,4.095503764126923
1000,2613.130559325218,375.1178368604742,69,69000,3.976180488021687
1000,2717.2711126990616,392.3243444627151,70,70000,4.074628790844154
1000,2664.8586293477565,389.20669828762766,71,71000,4.086080636233917
1000,2976.3932821415365,434.11523867584765,72,72000,3.9100285893638316
1000,2901.436757206917,419.95183336059563,73,73000,4.101282552056016
1000,2878.4065679402556,427.4587771069491,74,74000,4.1091064806688085
1000,2852.07183544524,397.6668652370572,75,75000,3.9412598084999475
1000,2794.859474004712,381.9503181481268,76,76000,4.105392862235878
1000,2724.4821905717254,384.4524336808827,77,77000,4.091623968208736
1000,2908.1419026341755,412.4427063385956,78,78000,3.962853363075469
1000,2953.00410829857,411.21254424075596,79,79000,4.100542399870072
1000,2947.5353057309985,414.128277214244,80,80000,4.088378165147045
1000,2848.3648424609564,403.69624335411936,81,81000,3.9624058237513404
1000,2853.331061758101,417.4292679755017,82,82000,4.0757505686525635
1000,3080.9396878555417,440.81159924156964,83,83000,4.107030497265751
1000,2951.8773333393037,406.25623075081967,84,84000,3.936592503513959
1000,2967.388341246173,429.8348596668802,85,85000,4.092233590527509
1000,2850.4547007298097,424.76028651418164,86,86000,4.108705050908304
1000,2790.616088397801,430.56825002247933,87,87000,3.932106104341924
1000,2968.8933576978743,436.9962963955477,88,88000,4.0811142989983935
1000,3042.0545016229153,450.4029960058979,89,89000,4.099547077059931
1000,2812.0870170108974,423.077540786122,90,90000,3.948560522581842
1000,2842.8944592569023,435.71648728870787,91,91000,4.086745516885464
1000,2835.653353984002,409.8901732118684,92,92000,4.099327184481341
1000,2837.379555554129,418.4930669805035,93,93000,3.861122642113506
1000,2874.2957004718482,432.1480420669541,94,94000,4.086402011397579
1000,3047.5572942937724,441.2090711793862,95,95000,4.088679470956867
1000,2979.4758679941297,449.4219418657012,96,96000,3.939524784002702
1000,2930.6791669130325,465.8265108880587,97,97000,4.091744845091003
1000,2591.1237888261676,396.98192749824375,98,98000,4.109250619723203
1000,2845.657687850762,450.6688560463954,99,99000,3.9299160339099215
1000,2823.2721595647745,428.4546041598078,100,100000,4.09773001439214
1000,2974.805092016235,467.48172839637846,101,101000,4.08230845172809
1000,3119.6845412859693,481.2481313731769,102,102000,3.941395686527631
1000,3046.601472198963,475.0762063511647,103,103000,4.0862690132426245
1000,3095.4689259594306,492.53034639917314,104,104000,4.0958841112789495
1000,3003.9204903156497,493.3005254488671,105,105000,3.9345538071272177
1000,3039.5147329829633,485.9874848421605,106,106000,4.100678842522765
1000,3000.3931879829615,482.6694576074369,107,107000,4.115246759930866
1000,3053.6410273201764,479.5459399600513,108,108000,3.9282989277704115
1000,3023.391093526967,488.3411033784505,109,109000,4.088045342443008
1000,3089.403210159391,501.66660342906835,110,110000,4.109781868540572
1000,3075.437408000231,500.9869270568015,111,111000,3.9441748365962828
1000,3012.713018257171,478.29392008762807,112,112000,4.102168086434753
1000,3153.8770373295993,514.0245518826996,113,113000,4.066788961809621
1000,3202.4215102680027,508.62643180345185,114,114000,3.931618651741949
1000,3216.5512254377827,515.3812942269724,115,115000,4.108546876248625
1000,3087.628942048177,510.19097756640986,116,116000,4.066980635565733
1000,3035.5736308477353,498.1843507934973,117,117000,3.963121336799133
1000,3019.1659904383123,476.4406445750501,118,118000,4.103662294918846
1000,3226.519083105959,528.5260420771665,119,119000,4.097387313723563
1000,3117.7012498751283,484.0423823642777,120,120000,3.867948170661638
1000,3014.701127707958,476.5190415720281,121,121000,4.106029920382322
1000,3291.140839010477,546.1251758910948,122,122000,4.0880974879801855
1000,3080.737934494391,503.88148631691,123,123000,3.9582629181967364
1000,3087.1803852021694,513.9348663286073,124,124000,4.093428079949423
1000,3001.5940034762025,480.16937622707337,125,125000,4.101322980532169
1000,3152.6499906629324,536.7061189243104,126,126000,3.9361114327464986
1000,2928.975666262908,491.62079702934716,127,127000,4.134561688098871
1000,3017.5461291028187,502.15723224851536,128,128000,4.075095757639321
1000,2972.759323615581,497.35228649294004,129,129000,3.940106248678084
1000,3139.9495652661426,513.5925293458859,130,130000,4.083564620547823
1000,3124.709627911914,533.4111994064879,131,131000,4.096585847781382
1000,3021.67050100863,519.4426462701522,132,132000,3.954274649217576
1000,2926.2857863027602,498.85582217090996,133,133000,4.063916388157259
1000,2820.736590529792,477.91008985438384,134,134000,4.090021267622243
1000,3021.4387016565306,513.0745893879794,135,135000,3.9161877060599686
1000,3118.7176615875214,512.5574648227775,136,136000,4.093154246501783
1000,3107.2362232186715,528.7886663256213,137,137000,4.208662956345266
1000,2942.019673101604,510.20068384800106,138,138000,3.94020829285397
1000,3273.9394697621465,542.4445641353377,139,139000,4.226236943422303
1000,3156.4817277637776,531.5934974164702,140,140000,4.064592748933155
1000,2992.0791384177282,515.2858902730513,141,141000,3.9282270860480097
1000,3143.3952453220263,529.2184177924937,142,142000,4.088819378321689
1000,3352.7669077664614,527.9854416997405,143,143000,4.073496992196905
1000,3182.644451651722,553.2455567558063,144,144000,4.0674647329431055
1000,3108.7166633047163,528.8404578232439,145,145000,4.186767362390055
1000,2906.674986914266,499.40345205552876,146,146000,4.087728939561917
1000,3299.3676776364446,548.9191744420677,147,147000,3.921011120736212
1000,3158.1359894375782,539.5416355084162,148,148000,4.088777083444329
1000,3201.846202339977,534.9354133997695,149,149000,4.107646352742428
1000,3202.076502718497,547.0248461372685,150,150000,3.820825094581751
1000,3160.6030150512233,534.2841656804085,151,151000,4.23311045166327
1000,3050.71713212505,519.5740979518741,152,152000,4.105355588206939
1000,3299.942329374142,558.0632732605445,153,153000,3.926016854688885
1000,3099.6327216140926,554.9683729452081,154,154000,3.7479955228729134
1000,3268.817671672441,556.5247434129124,155,155000,3.783028848551544
1000,3206.1964725106955,532.8640810594079,156,156000,3.72684681850676
1000,3197.58077808097,546.3874397072941,157,157000,3.7803491556280546
1000,3153.1707470603287,531.6823866857449,158,158000,3.82698248660413
1000,-97.42523591697682,39.11670931006665,16,16000,4.1765620022036964
1000,2806.173827532679,397.67776548315305,65,65000,4.076157611063515
1000,2916.844075024128,413.238052448025,66,66000,3.964848394548319
1000,2864.4200032278895,394.8707879791036,67,67000,4.102705724264013
1000,2797.027468621731,382.94036688050255,68,68000,4.095503764126923
1000,2613.130559325218,375.1178368604742,69,69000,3.976180488021687
1000,2717.2711126990616,392.3243444627151,70,70000,4.074628790844154
1000,2664.8586293477565,389.20669828762766,71,71000,4.086080636233917
1000,2976.3932821415365,434.11523867584765,72,72000,3.9100285893638316
1000,2901.436757206917,419.95183336059563,73,73000,4.101282552056016
1000,2878.4065679402556,427.4587771069491,74,74000,4.1091064806688085
1000,2852.07183544524,397.6668652370572,75,75000,3.9412598084999475
1000,2794.859474004712,381.9503181481268,76,76000,4.105392862235878
1000,2724.4821905717254,384.4524336808827,77,77000,4.091623968208736
1000,2908.1419026341755,412.4427063385956,78,78000,3.962853363075469
1000,2953.00410829857,411.21254424075596,79,79000,4.100542399870072
1000,2947.5353057309985,414.128277214244,80,80000,4.088378165147045
1000,2848.3648424609564,403.69624335411936,81,81000,3.9624058237513404
1000,20.773541667149402,45.856757993402425,17,17000,4.103721299904763
1000,-1.8511355587979779,47.41829485591734,18,18000,3.985706422571543
